name,reference product
"hydrogen production, gaseous, petroleum refinery operation_chemical_hydrogen_refinery","hydrogen, gaseous, low pressure"
"hydrogen production, steam methane reforming_ammonia_hydrogen_refinery","hydrogen, gaseous, low pressure"
"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity, domestic, FE2050_electrolysis_hydrogen_ammonia","hydrogen, gaseous, 30 bar"
"hydrogen production, gaseous, petroleum refinery operation_oil_refining_hydrogen_ammonia","hydrogen, gaseous, low pressure"
"chlor-alkali electrolysis, diaphragm cell_chlore_hydrogen_ammonia","hydrogen, gaseous, low pressure"
"hydrogen production, gaseous, petroleum refinery operation_chemical_hydrogen_ammonia","hydrogen, gaseous, low pressure"
"hydrogen production, steam methane reforming_methane_reforming_hydrogen_ammonia","hydrogen, gaseous, low pressure"
"hydrogen production, steam methane reforming_ammonia_hydrogen_ammonia","hydrogen, gaseous, low pressure"
"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity, domestic, FE2050_electrolysis_hydrogen_chemicals","hydrogen, gaseous, 30 bar"
"hydrogen, recovered from coke oven gas, FE2050_coking_hydrogen_chemicals","hydrogen, gaseous"
"hydrogen production, gaseous, petroleum refinery operation_oil_refining_hydrogen_chemicals","hydrogen, gaseous, low pressure"
"chlor-alkali electrolysis, diaphragm cell_chlore_hydrogen_chemicals","hydrogen, gaseous, low pressure"
"hydrogen production, gaseous, petroleum refinery operation_chemical_hydrogen_chemicals","hydrogen, gaseous, low pressure"
"hydrogen production, steam methane reforming_methane_reforming_hydrogen_chemicals","hydrogen, gaseous, low pressure"
"hydrogen production, steam methane reforming_ammonia_hydrogen_chemicals","hydrogen, gaseous, low pressure"
"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity, domestic, FE2050_electrolysis_hydrogen_steel","hydrogen, gaseous, 30 bar"
"hydrogen, recovered from coke oven gas, FE2050_coking_hydrogen_steel","hydrogen, gaseous"
"hydrogen production, gaseous, petroleum refinery operation_oil_refining_hydrogen_steel","hydrogen, gaseous, low pressure"
"chlor-alkali electrolysis, diaphragm cell_chlore_hydrogen_steel","hydrogen, gaseous, low pressure"
"hydrogen production, gaseous, petroleum refinery operation_chemical_hydrogen_steel","hydrogen, gaseous, low pressure"
"hydrogen production, steam methane reforming_methane_reforming_hydrogen_steel","hydrogen, gaseous, low pressure"
"hydrogen production, steam methane reforming_ammonia_hydrogen_steel","hydrogen, gaseous, low pressure"
"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity, domestic, FE2050_electrolysis_hydrogen_others","hydrogen, gaseous, 30 bar"
"hydrogen, recovered from coke oven gas, FE2050_coking_hydrogen_others","hydrogen, gaseous"
"hydrogen production, gaseous, petroleum refinery operation_oil_refining_hydrogen_others","hydrogen, gaseous, low pressure"
"chlor-alkali electrolysis, diaphragm cell_chlore_hydrogen_others","hydrogen, gaseous, low pressure"
"hydrogen production, gaseous, petroleum refinery operation_chemical_hydrogen_others","hydrogen, gaseous, low pressure"
"hydrogen production, steam methane reforming_methane_reforming_hydrogen_others","hydrogen, gaseous, low pressure"
"hydrogen production, steam methane reforming_ammonia_hydrogen_others","hydrogen, gaseous, low pressure"
"high voltage grid, per kWh, FE2050","transmitted electricity, high voltage"
"electricity production, from vehicle-to-grid, FE2050","electricity, high voltage"
"electricity production, hydro, pumped storage, FE2050","electricity, high voltage"
"electricity production, from hydrogen, with gas turbine, for grid-balancing, FE2050","electricity, high voltage"
"hydrogen storage, for grid-balancing, FE2050","hydrogen, gaseous, 80 bar"
"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity, domestic, FE2050","hydrogen, gaseous, 30 bar"
"electricity supply, high voltage, from vanadium-redox flow battery system, FE2050","electricity, high voltage"
"electricity production, from stationary battery, FE2050","electricity, high voltage"
"hydrogen, recovered from coke oven gas, FE2050","hydrogen, gaseous"
"hydrogen, recovered from coke oven gas, with carbon capture and storage, FE2050","hydrogen, gaseous"
"hydrogen production, gaseous, petroleum refinery operation","hydrogen, gaseous, low pressure"
ethanol production from sugar beet,"ethanol, without water, in 95% solution state, from fermentation"
"market for biomethane, high pressure","biomethane, high pressure"
"chlor-alkali electrolysis, diaphragm cell","hydrogen, gaseous, low pressure"
"hydrogen production, gaseous, petroleum refinery operation_chemical_hydrogen_refinery","hydrogen, gaseous, low pressure"
"hydrogen production, steam methane reforming_ammonia_hydrogen_refinery","hydrogen, gaseous, low pressure"
"hydrogen production, gaseous, petroleum refinery operation_oil_refining_hydrogen_ammonia","hydrogen, gaseous, low pressure"
"chlor-alkali electrolysis, diaphragm cell_chlore_hydrogen_ammonia","hydrogen, gaseous, low pressure"
"hydrogen production, gaseous, petroleum refinery operation_chemical_hydrogen_ammonia","hydrogen, gaseous, low pressure"
"hydrogen production, steam methane reforming_methane_reforming_hydrogen_ammonia","hydrogen, gaseous, low pressure"
"hydrogen production, steam methane reforming_ammonia_hydrogen_ammonia","hydrogen, gaseous, low pressure"
"hydrogen production, gaseous, petroleum refinery operation_oil_refining_hydrogen_chemicals","hydrogen, gaseous, low pressure"
"chlor-alkali electrolysis, diaphragm cell_chlore_hydrogen_chemicals","hydrogen, gaseous, low pressure"
"hydrogen production, gaseous, petroleum refinery operation_chemical_hydrogen_chemicals","hydrogen, gaseous, low pressure"
"hydrogen production, steam methane reforming_methane_reforming_hydrogen_chemicals","hydrogen, gaseous, low pressure"
"hydrogen production, steam methane reforming_ammonia_hydrogen_chemicals","hydrogen, gaseous, low pressure"
"hydrogen production, gaseous, petroleum refinery operation_oil_refining_hydrogen_steel","hydrogen, gaseous, low pressure"
"chlor-alkali electrolysis, diaphragm cell_chlore_hydrogen_steel","hydrogen, gaseous, low pressure"
"hydrogen production, gaseous, petroleum refinery operation_chemical_hydrogen_steel","hydrogen, gaseous, low pressure"
"hydrogen production, steam methane reforming_methane_reforming_hydrogen_steel","hydrogen, gaseous, low pressure"
"hydrogen production, steam methane reforming_ammonia_hydrogen_steel","hydrogen, gaseous, low pressure"
"hydrogen production, gaseous, petroleum refinery operation_oil_refining_hydrogen_others","hydrogen, gaseous, low pressure"
"chlor-alkali electrolysis, diaphragm cell_chlore_hydrogen_others","hydrogen, gaseous, low pressure"
"hydrogen production, gaseous, petroleum refinery operation_chemical_hydrogen_others","hydrogen, gaseous, low pressure"
"hydrogen production, steam methane reforming_methane_reforming_hydrogen_others","hydrogen, gaseous, low pressure"
"hydrogen production, steam methane reforming_ammonia_hydrogen_others","hydrogen, gaseous, low pressure"
"market for compressed gas, high pressure, FE2050",compressed gas
"market for compressed gas, low pressure, FE2050",compressed gas
"market for diesel, FE2050",diesel
"market for petrol, FE2050",petrol
"market for electricity production, direct production, high voltage, FE2050","electricity, high voltage"
"market for electricity, high voltage, FE2050","electricity, high voltage"
"market for electricity, from direct French production, FE2050","electricity, high voltage"
"market for electricity, from storage, FE2050","electricity, high voltage"
"market for electricity, from import, FE2050","electricity, high voltage"
"market for electricity, from direct production and import, FE2050","electricity, high voltage"
"market for electricity production, storage production, FE2050","electricity, high voltage"
"market for electricity production, import, FE2050","electricity, high voltage"
"market for electricity, medium voltage, FE2050","electricity, medium voltage"
"market for electricity, low voltage, FE2050","electricity, low voltage"
"market for hydrogen, gaseous, for refinery use, FE2050","hydrogen, gaseous"
"market for hydrogen, gaseous, for ammonia use, FE2050","hydrogen, gaseous"
